epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,3575.98,0.61864,0.04435,0.08608,0.42251,0.92857,0.95317,0.9357,0.97859,0.88776,0.00646,0.00784,0.00094,0.00091,0.48425,0.01341,0.0056,0.34108,0.85025,0.00607916,0.00607916,0.00607916
67,3631.49,0.6164,0.04494,0.09474,0.41844,0.92704,0.9551,0.93288,0.97956,0.8892,0.00633,0.00784,0.00097,0.0009,0.48279,0.01645,0.00782,0.34001,0.84975,0.00597754,0.00597754,0.00597754
68,3686.07,0.61491,0.04471,0.09693,0.41853,0.92823,0.9586,0.9322,0.98047,0.88907,0.00657,0.00805,0.00095,0.00087,0.48283,0.01624,0.00673,0.34003,0.84868,0.00587551,0.00587551,0.00587551
69,3739.68,0.60977,0.04374,0.08692,0.41703,0.92313,0.96011,0.93072,0.98001,0.89098,0.00681,0.00805,0.00099,0.0009,0.48109,0.01699,0.00718,0.33496,0.84932,0.00577311,0.00577311,0.00577311
70,3791.81,0.61017,0.04325,0.10132,0.4136,0.92357,0.95869,0.93412,0.98074,0.89321,0.00663,0.00805,0.00101,0.00094,0.47562,0.01588,0.00666,0.33294,0.84697,0.0056704,0.0056704,0.0056704
71,3844.08,0.60571,0.04188,0.09282,0.41094,0.92526,0.95581,0.93559,0.98149,0.89355,0.00688,0.00805,0.00102,0.00094,0.47149,0.01593,0.00916,0.33263,0.84588,0.00556742,0.00556742,0.00556742
72,3897.13,0.60574,0.03997,0.09897,0.41327,0.92413,0.95895,0.93263,0.98083,0.89389,0.00654,0.00784,0.00098,0.00093,0.47003,0.01733,0.00966,0.33224,0.84489,0.00546421,0.00546421,0.00546421
73,3948.41,0.60656,0.04461,0.10178,0.4116,0.92482,0.95861,0.93236,0.98072,0.8937,0.00664,0.00784,0.00095,0.00091,0.46877,0.0168,0.00937,0.33166,0.8437,0.00536081,0.00536081,0.00536081
74,3999.58,0.60004,0.04205,0.08277,0.40867,0.92453,0.95879,0.93164,0.98025,0.89375,0.00641,0.00784,0.00091,0.00087,0.4645,0.01658,0.00934,0.33157,0.84319,0.00525728,0.00525728,0.00525728
75,4050.42,0.59837,0.04269,0.07896,0.40534,0.92214,0.96231,0.93008,0.97948,0.89396,0.00689,0.00784,0.00092,0.00088,0.46357,0.01496,0.00865,0.33096,0.84301,0.00515366,0.00515366,0.00515366
76,4100.98,0.60042,0.04125,0.08886,0.40928,0.92243,0.96193,0.93178,0.9804,0.89543,0.00663,0.00784,0.00093,0.00088,0.46147,0.01382,0.00929,0.32958,0.84245,0.00505,0.00505,0.00505
77,4152.02,0.59793,0.04245,0.09082,0.40354,0.92125,0.95681,0.9341,0.98088,0.89575,0.0068,0.00784,0.00093,0.00089,0.46113,0.01416,0.00925,0.32823,0.84298,0.00494634,0.00494634,0.00494634
